district_name,district_id,2014,2015,2016
ATASEHIR,4,1020683299,667875328,792127528
AVCILAR,88,452179334,330970019,434905311
BAGCILAR,77,505115509,317506930,397756286
BAHCELIEVLER,81,1006005560,740541977,822640382
BAKIRKOY,34,850425707,646002410,737447588
BASAKSEHIR,53,118752316,99798077,133418430
BAYRAMPASA,70,536808563,393742380,504349153
BESIKTAS,33,1011783946,969152305,1111107682
BEYKOZ,9,198442970,109149700,152175713
BEYLIKDUZU,120,324375132,208961234,198194074
BEYOGLU,17,958101594,979501886,1043411910
BUYUKCEKMECE,60,358990168,311621844,386528311
CATALCA,15,94378144,49286019,56780671
CEKMEKOY,141,495380386,433468953,739701948
ESENLER,79,236738975,169192011,232132994
ESENYURT,42,464158080,389583418,628548201
EYUP,82,355923101,361404931,456583725
FATIH,84,1549783879,1187045598,1246028020
GAZIOSMANPASA,100,406932944,359695837,381474118
GUNGOREN,2,295831087,202434784,219771768
KADIKOY,50,2313547433,1875716713,2142223673
KAGITHANE,123,1277068776,1207088130,964471775
KARTAL,96,641361163,490257009,597485419
KUCUKCEKMECE,121,693408227,492612338,534178747
MALTEPE,160,923843733,674628485,861352577
PENDIK,65,656585140,488302531,524215916
SANCAKTEPE,38,45351288,34655019,42890004
SARIYER,59,333502213,199795956,321441902
SILIVRI,31,95954232,78858769,81703349
SISLI,115,2253956079,2207749774,4402840909
SULTANBEYLI,98,34985300,59762413,69270456
SULTANGAZI,86,62773841,50770245,54910051
TUZLA,87,129672623,109287674,116068679
UMRANIYE,63,1370447874,1567545620,1718609042
USKUDAR,61,1155743985,894316484,1145026249
ZEYTINBURNU,12,763769780,442560754,482404779
